feature_id,start_frame,used_num,score,stereo_error[3],track_error_per_frame[3],truth_error_per_frame[4]
0,0,1,1.41355,0 0 0,,
10,0,1,1.10886,0 0 0,,
19,0,1,1.05646e+06,0 0 0,,
53,0,1,1.18603e+06,0 0 0,,
140,0,1,0.258968,0 0 0,,
153,1,1,19.6641,0 0 0,,
156,2,1,3.44374,0 0 0,,
157,2,1,18.6012,0 0 0,,
160,3,1,21.79,0 0 0,,
162,3,1,2.56377,0 0 0,,
163,3,1,0.906961,0 0 0,,
171,4,1,1.45175,0 0 0,,
174,4,1,30.4705,0 0 0,,
175,5,1,3.04709,0 0 0,,
180,5,1,111.607,0 0 0,,
190,7,1,1.71045,0 0 0,,
192,8,1,23.3844,0 0 0,,
199,10,1,2.00907,0 0 0,,
207,12,1,0.953283,0 0 0,,
213,13,1,0.654577,0 0 0,,
232,38,1,13.4637,0 0 0,,
234,39,1,25903.3,0 0 0,,
251,44,1,2478.39,0 0 0,,
258,47,1,1192.96,0 0 0,,
260,47,1,0.448528,0 0 0,,
265,47,1,80.6052,0 0 0,,
276,49,1,1.10005,0 0 0,,
277,49,1,0.361535,0 0 0,,
281,50,1,491665,0 0 0,,
282,50,1,0.608368,0 0 0,,
291,51,1,379253,0 0 0,,
296,51,1,0.798247,0 0 0,,
297,51,1,2.42621,0 0 0,,
303,52,1,0.832247,0 0 0,,
304,52,1,0.948923,0 0 0,,
305,52,1,924289,0 0 0,,
306,52,1,1.0501e+06,0 0 0,,
308,52,1,0.798565,0 0 0,,
309,52,1,0.282362,0 0 0,,
315,53,1,1.19161,0 0 0,,
316,53,1,0.514742,0 0 0,,
320,53,1,0.93419,0 0 0,,
322,54,1,0.379648,0 0 0,,
323,54,1,1.11471,0 0 0,,
325,54,1,0.69384,0 0 0,,
328,54,1,0.544044,0 0 0,,
329,54,1,1.50904,0 0 0,,
333,54,1,0.338602,0 0 0,,
335,54,1,0.265666,0 0 0,,
336,55,1,0.412225,0 0 0,,
337,55,1,0.605975,0 0 0,,
343,55,1,1.82273,0 0 0,,
345,55,1,1.03257e+06,0 0 0,,
350,55,1,516423,0 0 0,,
353,55,1,0.295209,0 0 0,,
355,56,1,0.677703,0 0 0,,
356,56,1,1.87877,0 0 0,,
357,56,1,0.797675,0 0 0,,
358,56,1,0.543494,0 0 0,,
359,56,1,1.3202e+06,0 0 0,,
360,56,1,1.58577,0 0 0,,
364,56,1,1.0838e+06,0 0 0,,
365,56,1,0.886751,0 0 0,,
366,56,1,0.298593,0 0 0,,
370,56,1,733797,0 0 0,,
371,56,1,0.284608,0 0 0,,
373,57,1,1.18221,0 0 0,,
374,57,1,1.17473e+06,0 0 0,,
375,57,1,0.851435,0 0 0,,
376,57,1,0.276204,0 0 0,,
377,57,1,1.06084,0 0 0,,
378,57,1,0.470444,0 0 0,,
380,57,1,1.43172,0 0 0,,
381,57,1,0.303388,0 0 0,,
383,57,1,0.357074,0 0 0,,
385,57,1,0.769755,0 0 0,,
386,57,1,806036,0 0 0,,
387,57,1,1.87396,0 0 0,,
388,57,1,1.1069,0 0 0,,
389,57,1,1.15855,0 0 0,,
390,57,1,0.718403,0 0 0,,
391,57,1,0.781174,0 0 0,,
392,57,1,0.173435,0 0 0,,
395,57,1,0.0766849,0 0 0,,
397,58,1,0.64961,0 0 0,,
398,58,1,1.30626,0 0 0,,
399,58,1,2.65438,0 0 0,,
401,58,1,0.216453,0 0 0,,
402,58,1,0.781457,0 0 0,,
403,58,1,0.715091,0 0 0,,
404,58,1,1.05527,0 0 0,,
405,58,1,0.897,0 0 0,,
406,58,1,0.378357,0 0 0,,
407,58,1,2.13691,0 0 0,,
408,58,1,229.503,0 0 0,,
409,58,1,0.764991,0 0 0,,
410,58,1,119.402,0 0 0,,
411,58,1,3.92336,0 0 0,,
412,58,1,1.59314,0 0 0,,
413,58,1,0.842648,0 0 0,,
414,58,1,0.408962,0 0 0,,
417,58,1,0.360304,0 0 0,,
418,58,1,1.06293,0 0 0,,
419,58,1,0.925985,0 0 0,,
422,58,1,2.6505,0 0 0,,
424,58,1,0.965637,0 0 0,,
425,58,1,0.836327,0 0 0,,
427,59,1,1.21975,0 0 0,,
429,59,1,119.225,0 0 0,,
430,59,1,42.517,0 0 0,,
431,59,1,2.34729,0 0 0,,
432,59,1,0.887249,0 0 0,,
434,59,1,1.10293,0 0 0,,
435,59,1,1.28042,0 0 0,,
436,59,1,0.574406,0 0 0,,
437,59,1,1.72171,0 0 0,,
440,59,1,0.81639,0 0 0,,
443,59,1,3.1364,0 0 0,,
444,59,1,0.460332,0 0 0,,
445,59,1,1.0631,0 0 0,,
446,59,1,0.769569,0 0 0,,
450,59,1,1.46832,0 0 0,,
451,59,1,0.353317,0 0 0,,
453,59,1,1.12049,0 0 0,,
454,59,1,0.427826,0 0 0,,
455,59,1,0.377848,0 0 0,,
456,59,1,0.298456,0 0 0,,
459,59,1,0.232158,0 0 0,,
460,59,1,0.395809,0 0 0,,
461,59,1,0.382657,0 0 0,,
462,59,1,533.057,0 0 0,,
464,59,1,0.65778,0 0 0,,
465,59,1,1.5852,0 0 0,,
466,59,1,0.530086,0 0 0,,
467,59,1,0.898955,0 0 0,,
468,59,1,1404.48,0 0 0,,
473,60,1,0.779905,0 0 0,,
474,60,1,1.37294,0 0 0,,
475,60,1,0.64336,0 0 0,,
476,60,1,904.018,0 0 0,,
477,60,1,0.749247,0 0 0,,
479,60,1,1.55024,0 0 0,,
480,60,1,1.61551,0 0 0,,
482,60,1,25.7759,0 0 0,,
